,Behaviour,Round,total100,total90,total75,total50
37,GREEDY,4,0.0720360180090045,0.07153576788394198,0.029514757378689346,0.013506753376688344
38,FRONTIER,4,0.02001000500250125,0.01950975487743872,0.015007503751875938,0.01200600300150075
39,GREEDY_FRONTIER,4,0.03501750875437719,0.03451725862931466,0.026013006503251626,0.01200600300150075
40,FRONTIER_ASSIST,4,0.02001000500250125,0.01950975487743872,0.015007503751875938,0.01200600300150075
41,SCOUT,4,0.02801400700350175,0.02751375687843922,0.02051025512756378,0.015007503751875938
42,FRONTIER_CENTRAL_GREEDY,4,0.02301150575287644,0.022511255627813906,0.017508754377188594,0.01200600300150075
43,ZONE_SPLIT,4,,1.0,0.03551775887943972,0.02051025512756378
44,ZONE_VORONOI,4,0.03801900950475238,0.03751875937968985,0.017008504252126064,0.013006503251625813
45,WANDERING,5,,1.0,0.2271135567783892,0.07653826913456728
46,GREEDY,5,0.21060530265132565,0.21010505252626313,0.06503251625812906,0.0240120060030015
47,FRONTIER,5,0.027013506753376687,0.026513256628314157,0.018509254627313655,0.013006503251625813
48,GREEDY_FRONTIER,5,0.028514257128564282,0.02801400700350175,0.018009004502251125,0.014007003501750876
49,FRONTIER_ASSIST,5,0.027013506753376687,0.026513256628314157,0.018509254627313655,0.013006503251625813
50,SCOUT,5,0.030515257628814407,0.030015007503751877,0.01900950475237619,0.014007003501750876
51,FRONTIER_CENTRAL_GREEDY,5,0.030015007503751877,0.029514757378689346,0.01900950475237619,0.013506753376688344
52,ZONE_SPLIT,5,,1.0,0.03901950975487744,0.030015007503751877
53,ZONE_VORONOI,5,0.028514257128564282,0.02801400700350175,0.017008504252126064,0.01200600300150075
54,WANDERING,6,0.18609304652326164,0.1855927963981991,0.10755377688844422,0.06603301650825413
55,GREEDY,6,0.12356178089044523,0.12306153076538269,0.04902451225612806,0.028514257128564282
56,FRONTIER,6,0.027013506753376687,0.026513256628314157,0.018009004502251125,0.01250625312656328
57,GREEDY_FRONTIER,6,0.07703851925962982,0.07653826913456728,0.01950975487743872,0.015007503751875938
58,FRONTIER_ASSIST,6,0.027013506753376687,0.026513256628314157,0.018009004502251125,0.01250625312656328
59,SCOUT,6,0.03251625812906453,0.032016008004002,0.022511255627813906,0.015007503751875938
60,FRONTIER_CENTRAL_GREEDY,6,0.02801400700350175,0.02751375687843922,0.01950975487743872,0.013506753376688344
61,ZONE_SPLIT,6,0.08204102051025512,0.0815407703851926,0.04502251125562781,0.026513256628314157
62,ZONE_VORONOI,6,0.03151575787893947,0.031015507753876938,0.021510755377688845,0.013506753376688344
63,WANDERING,7,0.5782891445722862,0.5777888944472236,0.16658329164582292,0.06303151575787894
64,GREEDY,7,0.1295647823911956,0.12906453226613307,0.05002501250625312,0.030015007503751877
65,FRONTIER,7,0.0335167583791896,0.03301650825412707,0.022011005502751375,0.014507253626813406
